timestamp;x;y;l_x;l_y;r_x;r_y;pupil_l;pupil_r;event_type;fixation_x;fixation_y;event_duration;fixation_id;saccade_id;start_time;end_time
0.0;1278.7908172607422;626.9798755645751;0.4940559267997741;0.4761850237846374;0.4995276629924774;0.4354026913642883;3.167098999023437;2.96087646484375;Saccade;;;52.0;;1.0;0.0;52.0
4.0;1269.1823577880857;652.5048923492432;0.4978626370429992;0.4841355979442596;0.495774358510971;0.4531283974647522;3.136993408203125;2.966903686523437;Saccade;;;52.0;;1.0;0.0;52.0
8.0;1283.0657958984375;679.0368318557738;0.4957561790943146;0.495566725730896;0.5011975765228271;0.4715533554553985;3.18072509765625;2.982162475585937;Saccade;;;52.0;;1.0;0.0;52.0
12.0;1266.7222595214841;674.7925472259521;0.4962305724620819;0.4919991195201874;0.4948133826255798;0.4686059355735779;3.18707275390625;2.98388671875;Saccade;;;52.0;;1.0;0.0;52.0
16.0;1280.4603576660156;636.9813823699951;0.4966067373752594;0.5047910213470459;0.5001798272132874;0.4423481822013855;3.1702880859375;2.9742584228515625;Saccade;;;52.0;;1.0;0.0;52.0
20.0;1280.2130126953125;657.9792594909668;0.4983068108558655;0.5042609572410583;0.5000832080841064;0.4569300413131714;3.17901611328125;2.9584197998046875;Saccade;;;52.0;;1.0;0.0;52.0
24.0;1272.4079132080076;678.6725664138794;0.4962404668331146;0.5068522095680237;0.497034341096878;0.4713003933429718;3.161849975585937;2.99053955078125;Saccade;;;52.0;;1.0;0.0;52.0
28.0;1275.5928039550781;694.383873939514;0.4975775182247162;0.5025060772895813;0.4982784390449524;0.482211023569107;3.1450347900390625;3.0110626220703125;Saccade;;;52.0;;1.0;0.0;52.0
32.0;1278.4098052978513;689.6562767028807;0.4997895359992981;0.524169385433197;0.4993788301944732;0.4789279699325561;3.149688720703125;2.991546630859375;Saccade;;;52.0;;1.0;0.0;52.0
36.0;1270.6282043457031;714.4601440429688;0.5017629861831665;0.5086922645568848;0.4963391423225403;0.4961528778076172;3.1455078125;3.0194549560546875;Saccade;;;52.0;;1.0;0.0;52.0
