fixation_id;start_time;end_time;norm_pos_x;norm_pos_y;timestamp;event_type;duration;saccade_id;x;y
;1755694067.087;1755694067.753;;;1755694067.087;Saccade;0.6660001277923584;1.0;1575.1569010416667;635.9187825520834
1.0;1755694067.787;1755694068.72;1523.9213825257061;487.70904600186054;1755694067.787;Fixation;0.9330000877380371;;;
2.0;1755694068.753;1755694069.187;1384.2281436011904;456.8308047340029;1755694068.753;Fixation;0.43400001525878906;;;
;1755694069.22;1755694069.287;;;1755694069.22;Saccade;0.06699991226196289;2.0;0.0;1440.0
3.0;1755694069.32;1755694070.353;1123.9875600373446;621.0226884176764;1755694069.32;Fixation;1.0329999923706055;;;
;1755694070.387;1755694072.253;;;1755694070.387;Saccade;1.8659999370574951;3.0;1097.3200683593748;588.6588541666666
4.0;1755694072.287;1755694073.12;976.1445791889907;370.662875687024;1755694072.287;Fixation;0.8329999446868896;;;
;1755694073.153;1755694073.987;;;1755694073.153;Saccade;0.8339998722076416;4.0;956.6549479166666;384.6097819010417
5.0;1755694074.02;1755694074.22;1457.841587611607;576.2959565662202;1755694074.02;Fixation;0.20000004768371582;;;
;1755694074.253;1755694075.253;;;1755694074.253;Saccade;1.0;5.0;1459.0065104166665;586.130859375
6.0;1755694075.287;1755694076.12;1335.2082019225093;272.37886846264513;1755694075.287;Fixation;0.8329999446868896;;;
;1755694076.154;1755694076.187;;;1755694076.154;Saccade;0.03299999237060547;6.0;1217.82275390625;276.39046223958326
7.0;1755694076.22;1755694076.354;915.0359700520833;280.3442545572916;1755694076.22;Fixation;0.13400006294250488;;;
;1755694076.387;1755694076.754;;;1755694076.387;Saccade;0.36699986457824707;7.0;1047.6842447916667;280.46671549479174
8.0;1755694076.787;1755694076.954;1459.210476345486;312.8381890190972;1755694076.787;Fixation;0.16700005531311035;;;
9.0;1755694076.987;1755694077.854;1227.6578979114083;294.3904576809755;1755694076.987;Fixation;0.8670001029968262;;;
;1755694077.887;1755694078.387;;;1755694077.887;Saccade;0.5;8.0;1486.5045572916667;327.80419921874983
10.0;1755694078.42;1755694078.62;1125.8187662760415;354.4678896949404;1755694078.42;Fixation;0.19999980926513672;;;
;1755694078.654;1755694078.787;;;1755694078.654;Saccade;0.13299989700317383;9.0;1119.982177734375;350.1118977864582
11.0;1755694078.82;1755694079.02;1467.5606631324406;424.59185500372024;1755694078.82;Fixation;0.20000004768371582;;;
;1755694079.054;1755694079.22;;;1755694079.054;Saccade;0.1660001277923584;10.0;1360.1478678385415;418.08805338541663
12.0;1755694079.254;1755694079.52;1037.4670862268517;396.3692220052083;1755694079.254;Fixation;0.26600003242492676;;;
13.0;1755694079.554;1755694079.72;0.0;1440.0;1755694079.554;Fixation;0.1660001277923584;;;
14.0;1755694079.754;1755694079.887;1354.868701171875;439.022314453125;1755694079.754;Fixation;0.13300013542175293;;;
;1755694079.92;1755694079.954;;;1755694079.92;Saccade;0.03399991989135742;11.0;1333.3321940104167;439.1175944010416
15.0;1755694079.987;1755694080.22;967.1198120117188;416.01760864257807;1755694079.987;Fixation;0.2330000400543213;;;
;1755694080.254;1755694080.354;;;1755694080.254;Saccade;0.10000014305114746;12.0;983.6166178385416;413.91788736979163
16.0;1755694080.387;1755694080.587;1385.3048270089282;441.51396251860115;1755694080.387;Fixation;0.19999980926513672;;;
;1755694080.62;1755694080.654;;;1755694080.62;Saccade;0.03400015830993652;13.0;1378.0919596354167;450.12858072916663
17.0;1755694080.687;1755694081.02;933.0275065104165;419.86586322206443;1755694080.687;Fixation;0.33299994468688965;;;
;1755694081.054;1755694082.02;;;1755694081.054;Saccade;0.9660000801086426;14.0;0.0;1440.0
18.0;1755694082.054;1755694082.32;1635.5369331507875;335.14251825161506;1755694082.054;Fixation;0.26600003242492676;;;
;1755694082.354;1755694082.52;;;1755694082.354;Saccade;0.1659998893737793;15.0;1643.6437174479167;327.02636718749994
19.0;1755694082.554;1755694082.754;0.0;1440.0;1755694082.554;Fixation;0.20000004768371582;;;
;1755694082.787;1755694083.154;;;1755694082.787;Saccade;0.36700010299682617;16.0;887.3147786458333;515.7579752604166
20.0;1755694083.187;1755694086.02;985.7726693381816;476.1730797553541;1755694083.187;Fixation;2.8329999446868896;;;
21.0;1755694086.054;1755694086.154;0.0;1440.0;1755694086.054;Fixation;0.10000014305114746;;;
;1755694086.187;1755694087.02;;;1755694086.187;Saccade;0.8329999446868896;17.0;1929.9742838541667;269.1502278645833
22.0;1755694087.054;1755694087.187;1547.9747721354165;332.6198567708333;1755694087.054;Fixation;0.13300013542175293;;;
;1755694087.22;1755694087.587;;;1755694087.22;Saccade;0.36699986457824707;18.0;1350.260498046875;298.99804687499983
23.0;1755694087.62;1755694087.82;1169.271286737351;283.8671061197916;1755694087.62;Fixation;0.20000004768371582;;;
;1755694087.854;1755694087.954;;;1755694087.854;Saccade;0.09999990463256836;19.0;0.0;1440.0
24.0;1755694087.987;1755694088.62;1539.436422679966;357.5192702257444;1755694087.987;Fixation;0.6329998970031738;;;
;1755694088.654;1755694089.554;;;1755694088.654;Saccade;0.8999998569488525;20.0;1259.8115234375;282.5047200520833
25.0;1755694089.587;1755694101.954;936.2828084536304;451.5888220626312;1755694089.587;Fixation;12.367000102996826;;;
26.0;1755694101.987;1755694102.121;0.0;1440.0;1755694101.987;Fixation;0.13400006294250488;;;
;1755694102.154;1755694102.721;;;1755694102.154;Saccade;0.5669999122619629;21.0;1896.8870442708335;239.15690104166669
27.0;1755694102.754;1755694103.321;1182.901631010857;379.1885105700187;1755694102.754;Fixation;0.567000150680542;;;
;1755694103.354;1755694104.554;;;1755694103.354;Saccade;1.1999998092651367;22.0;1141.1481119791667;339.24169921875006
28.0;1755694104.587;1755694104.721;730.0703776041667;343.41894531249994;1755694104.587;Fixation;0.13400006294250488;;;
;1755694104.754;1755694105.554;;;1755694104.754;Saccade;0.7999999523162842;23.0;738.9997558593748;336.55631510416663
29.0;1755694105.587;1755694105.687;1069.777587890625;377.99713134765614;1755694105.587;Fixation;0.10000014305114746;;;
;1755694105.721;1755694107.054;;;1755694105.721;Saccade;1.3329999446868896;24.0;1093.126220703125;376.9772949218749
