saccade_id;fixation_id;timestamp;x;y;video_frame_count;event_type;norm_pos_x;norm_pos_y;duration;start_time;end_time
1.0;;1755694067.087;1575.1569010416667;635.9187825520834;0;Saccade;;;0.0;1755694069.22;1755694069.22
;1.0;1755694067.787;1558.9417317708333;488.11889648437506;2;Fixation;1523.9213825257061;487.70904600186054;0.9330000877380371;1755694068.753;1755694068.753
;2.0;1755694068.753;1376.1220703125;451.90502929687494;4;Fixation;1384.2281436011904;456.8308047340029;0.43400001525878906;1755694069.32;1755694069.32
2.0;;1755694069.22;0.0;1440.0;7;Saccade;;;0.0;1755694069.62;1755694069.62
;3.0;1755694069.32;1186.3617350260417;636.7173665364581;7;Fixation;1123.9875600373446;621.0226884176764;1.0329999923706055;1755694072.287;1755694072.287
3.0;;1755694069.62;1142.5028483072917;629.0439453124999;10;Saccade;;;0.0;1755694070.387;1755694070.387
4.0;;1755694070.387;1097.3200683593748;588.6588541666666;16;Saccade;;;0.0;1755694072.453;1755694072.453
;4.0;1755694072.287;942.2929687499999;365.05908203124994;23;Fixation;976.1445791889906;370.662875687024;0.8329999446868896;1755694074.02;1755694074.02
5.0;;1755694072.453;964.2383626302083;364.16137695312494;23;Saccade;;;0.0;1755694072.787;1755694072.787
6.0;;1755694072.787;997.6971028645833;372.4703776041666;25;Saccade;;;0.0;1755694073.153;1755694073.153
7.0;;1755694073.153;956.6549479166666;384.6097819010417;26;Saccade;;;0.0;1755694074.253;1755694074.253
;5.0;1755694074.02;1464.6276041666667;572.4827473958333;30;Fixation;1457.841587611607;576.2959565662202;0.20000004768371582;1755694075.287;1755694075.287
8.0;;1755694074.253;1459.0065104166665;586.130859375;31;Saccade;;;0.0;1755694075.42;1755694075.42
;6.0;1755694075.287;1322.90966796875;319.18416341145826;36;Fixation;1335.2082019225093;272.37886846264513;0.8329999446868896;1755694076.22;1755694076.22
9.0;;1755694075.42;1315.9765625;340.5039876302082;37;Saccade;;;0.0;1755694075.754;1755694075.754
10.0;;1755694075.754;1294.9086100260415;267.07364908854163;39;Saccade;;;0.0;1755694076.154;1755694076.154
11.0;;1755694076.154;1217.82275390625;276.39046223958326;40;Saccade;;;0.0;1755694076.387;1755694076.387
;7.0;1755694076.22;912.7887369791666;282.6464029947916;40;Fixation;915.0359700520833;280.3442545572916;0.13400006294250488;1755694076.787;1755694076.787
12.0;;1755694076.387;1047.6842447916667;280.46671549479174;42;Saccade;;;0.0;1755694077.187;1755694077.187
;8.0;1755694076.787;1470.1603190104165;314.599853515625;44;Fixation;1459.210476345486;312.8381890190972;0.16700005531311035;1755694076.987;1755694076.987
;9.0;1755694076.987;1218.1953125;314.83414713541663;45;Fixation;1227.6578979114083;294.3904576809755;0.8670001029968262;1755694078.42;1755694078.42
13.0;;1755694077.187;1204.2203776041667;322.98567708333326;46;Saccade;;;0.0;1755694077.887;1755694077.887
14.0;;1755694077.887;1486.5045572916667;327.80419921874983;50;Saccade;;;0.0;1755694078.654;1755694078.654
;10.0;1755694078.42;1135.1206868489583;357.7349446614583;52;Fixation;1125.8187662760415;354.4678896949404;0.19999980926513672;1755694078.82;1755694078.82
15.0;;1755694078.654;1119.982177734375;350.1118977864582;55;Saccade;;;0.0;1755694079.054;1755694079.054
;11.0;1755694078.82;1468.0628255208333;419.15486653645826;56;Fixation;1467.5606631324406;424.59185500372024;0.20000004768371582;1755694079.254;1755694079.254
