timestamp;x;y;l_x;l_y;r_x;r_y;pupil_l;pupil_r;event_type;fixation_x;fixation_y;original_gaze_point_duration;fixation_id;saccade_id;start_time;end_time;duration
0.0;1276.8463134765625;716.8770933151245;0.4922825992107391;0.4630628228187561;0.4987680912017822;0.4978313148021698;3.371368408203125;3.375396728515625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.004;1272.7565002441404;722.4680614471436;0.4948375225067138;0.4548565149307251;0.4971705079078674;0.5017139315605164;3.3544464111328125;3.392562866210937;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.008;1271.8321990966797;708.2235574722289;0.4928415417671203;0.4602508544921875;0.4968094527721405;0.4918219149112701;3.362213134765625;3.3542633056640625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.012;1274.7116088867188;719.440083503723;0.4915869235992431;0.4606436789035797;0.4979342222213745;0.4996111690998077;3.3488311767578125;3.376449584960937;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.016;1272.88459777832;707.6551866531372;0.4919000267982483;0.4565953612327575;0.4972205460071563;0.4914272129535675;3.3468780517578125;3.3736572265625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.02;1269.9973297119138;703.1754255294799;0.4914193153381347;0.4735909700393677;0.4960927069187164;0.4883162677288055;3.3880767822265625;3.3449859619140625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.024;1271.2772369384766;711.9743156433105;0.4892703294754028;0.461500346660614;0.4965926706790924;0.4944266080856323;3.360870361328125;3.368270874023437;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.028;1269.028549194336;707.9198884963989;0.4913961589336395;0.4729774594306946;0.4957142770290375;0.4916110336780548;3.3855133056640625;3.3569793701171875;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.032;1261.6873931884763;717.8718709945679;0.4890775084495544;0.4610733389854431;0.4928466379642486;0.4985221326351166;3.343902587890625;3.388458251953125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.036;1262.209701538086;709.2788457870482;0.4895228445529938;0.4652891755104065;0.4930506646633148;0.4925547540187835;3.3424530029296875;3.386383056640625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.04;1267.1594238281248;704.2613554000854;0.4877214133739471;0.4598026275634765;0.4949841499328613;0.4890703856945038;3.36968994140625;3.3571319580078125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.044;1268.468017578125;712.7751588821411;0.4889572262763977;0.4636051058769226;0.4954953193664551;0.4949827492237091;3.350692749023437;3.3715057373046875;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.048;1266.2312316894531;695.2001667022705;0.4879216253757477;0.4653242528438568;0.4946215748786926;0.4827778935432434;3.364486694335937;3.3449249267578125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.052;1260.7145690917966;709.8106098175049;0.4887976050376892;0.4663444459438324;0.4924666285514831;0.4929240345954895;3.367294311523437;3.3817596435546875;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.056;1251.4505767822263;719.3627071380615;0.4867309927940368;0.462007462978363;0.4888478815555572;0.4995574355125427;3.3506317138671875;3.4151611328125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.06;1256.3909149169922;698.6456680297852;0.4880937337875366;0.4668370485305786;0.4907777011394501;0.4851706027984619;3.360336303710937;3.3616485595703125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.064;1250.4803466796873;715.8623600006102;0.4882907569408417;0.4546033143997192;0.4884688854217529;0.4971266388893127;3.345321655273437;3.38568115234375;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.068;1256.0556030273435;713.6320066452025;0.483374536037445;0.4673474729061126;0.4906467199325561;0.4955777823925018;3.3769989013671875;3.38250732421875;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.072;1259.213409423828;683.0146980285645;0.4869360029697418;0.4673992693424225;0.4918802380561828;0.4743157625198364;3.37054443359375;3.331161499023437;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.076;1251.0874938964844;703.0157375335693;0.4854368567466736;0.4628312885761261;0.4887060523033142;0.4882053732872009;3.346908569335937;3.361236572265625;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
0.08;1253.9571380615234;697.9700517654419;0.4837677180767059;0.4499573707580566;0.4898270070552826;0.4847014248371124;3.318145751953125;3.354034423828125;Fixation;1251.6286695571173;700.3367481912885;0.332;1.0;;0.0;0.332;0.332
