fixation_id;start_time;end_time;norm_pos_x;norm_pos_y;timestamp;event_type;duration;saccade_id;x;y
;0.0;1.024;;;0.0;Saccade;1.024;1.0;1276.8463134765625;716.8770933151245
1.0;1.028;1.152;1286.5513157844543;458.5934878885746;1.028;Fixation;0.12399999999999989;;;
;1.156;4.36;;;1.156;Saccade;3.2040000000000006;2.0;1286.3825988769531;466.7018365859985
2.0;4.364;4.472;1330.2865982055664;628.5332792145865;4.364;Fixation;0.10800000000000054;;;
;4.476;4.676;;;4.476;Saccade;0.20000000000000018;3.0;1329.9734497070312;640.4039669036865
3.0;4.68;4.784;1266.1986456976997;459.26598866780597;4.68;Fixation;0.10400000000000009;;;
;4.788;5.312;;;4.788;Saccade;0.524;4.0;1270.8901214599607;467.02155590057373
