timestamp;x;y;video_frame_count;
1755694067.087;0.6152956644694011;0.441610265661169;0;
1755694067.12;0.0;1.0;0;
1755694067.153;0.6041919072469075;0.43696289062500004;0;
1755694067.187;0.0;1.0;0;
1755694067.22;0.5920092264811198;0.4303755583586516;0;
1755694067.253;0.5409718831380208;0.40564032660590277;1;
1755694067.287;0.5424298604329427;0.4043840196397569;1;
1755694067.32;0.5433082580566406;0.4012193467881945;1;
1755694067.353;0.5402238210042317;0.39838991518373845;2;
1755694067.387;0.5338172912597656;0.3951607598198785;2;
1755694067.42;0.5295953114827474;0.391191327130353;2;
1755694067.453;0.5272752126057942;0.389013671875;2;
1755694067.487;0.5250045776367187;0.3862457275390625;2;
1755694067.52;0.5225990295410157;0.3817937780309606;2;
1755694067.553;0.5195691426595052;0.3803103411639178;2;
1755694067.587;0.518445078531901;0.3795887699833622;2;
1755694067.62;0.5643797556559245;0.3602917706524884;2;
1755694067.653;0.0;1.0;2;
1755694067.687;0.5852858861287434;0.3511544686776621;2;
1755694067.72;0.5991387685139974;0.3450100368923611;2;
1755694067.753;0.6054480870564779;0.3411645394784433;2;
1755694067.787;0.6089616139729818;0.3389714558919271;2;
1755694067.82;0.6108827590942383;0.3376373291015625;2;
1755694067.853;0.6113053639729817;0.3371622721354167;2;
1755694067.887;0.6100603739420573;0.3350332754629629;2;
1755694067.92;0.6082585016886394;0.33210686577690973;2;
1755694067.953;0.6057641347249348;0.3329039962203414;2;
1755694067.987;0.605345344543457;0.33293428774233214;2;
1755694068.02;0.6051001866658529;0.334072028266059;2;
1755694068.053;0.6077047348022461;0.33461524115668406;3;
1755694068.087;0.6049313227335612;0.3351535938404224;3;
1755694068.12;0.6007619857788086;0.3346000953956887;3;
1755694068.153;0.6010445276896159;0.3344736169885706;3;
1755694068.187;0.5975758870442708;0.33423959237557865;3;
1755694068.22;0.5972338994344075;0.3366556238245081;3;
1755694068.253;0.5960760752360026;0.33833951596860534;3;
1755694068.287;0.5932471593221028;0.33831227620442705;3;
1755694068.32;0.5911643346150716;0.3392343591760706;3;
1755694068.353;0.5890758514404297;0.34039962203414353;3;
1755694068.387;0.587111218770345;0.3409975970232928;3;
1755694068.42;0.5843074162801106;0.3418940791377315;3;
1755694068.453;0.5824254353841146;0.34324968126085065;4;
1755694068.487;0.5814448674519856;0.34336587411386;4;
1755694068.52;0.5799687067667644;0.34465111626519096;4;
1755694068.553;0.5792336781819661;0.3453902067961516;4;
1755694068.587;0.5794713973999024;0.3453617802372685;4;
1755694068.62;0.579891586303711;0.3459191216362847;4;
1755694068.653;0.5807865778605144;0.34568747061270255;4;
1755694068.687;0.5810324350992838;0.34623537416811345;4;
1755694068.72;0.5753519058227539;0.34163428412543406;4;
