timestamp;x;y;video_frame_count;event_type;fixation_x;fixation_y;event_duration;fixation_id;saccade_id;start_time;end_time
0.0;1575.1569010416667;635.9187825520834;0;Saccade;;;133.00013542175293;;1.0;0.0;133.00013542175293
32.99999237060547;0.0;1440.0;0;Saccade;;;133.00013542175293;;1.0;0.0;133.00013542175293
66.00022315979004;1546.7312825520833;629.2265625;0;Saccade;;;133.00013542175293;;1.0;0.0;133.00013542175293
100.00014305114746;0.0;1440.0;0;Saccade;;;133.00013542175293;;1.0;0.0;133.00013542175293
133.00013542175293;1515.5436197916665;619.7408040364583;0;Saccade;;;133.00013542175293;;1.0;0.0;133.00013542175293
166.0001277923584;1384.8880208333333;584.1220703124999;1;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
200.00004768371582;1388.6204427083335;582.3129882812499;1;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
233.0000400543213;1390.869140625;577.7558593750001;1;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
266.00003242492676;1382.9729817708333;573.6814778645833;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
300.0001907348633;1366.572265625;569.0314941406251;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
333.00018310546875;1355.7639973958335;563.3155110677083;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
366.0001754760742;1349.8245442708333;560.1796875;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
400.00009536743164;1344.01171875;556.19384765625;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
433.0000877380371;1337.853515625;549.7830403645833;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
466.0000801086426;1330.0970052083333;547.6468912760416;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
500.0;1327.2194010416665;546.6078287760416;2;Fixation;1359.8811848958333;564.6027906013258;333.9998722076416;1.0;;166.0001277923584;500.0
532.9999923706055;1444.8121744791665;518.8201497395833;2;Saccade;;;33.00023078918457;;2.0;532.9999923706055;566.00022315979
566.00022315979;0.0;1440.0;2;Saccade;;;33.00023078918457;;2.0;532.9999923706055;566.00022315979
600.0001430511475;1498.3318684895833;505.6624348958334;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
633.0001354217529;1533.7952473958333;496.814453125;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
666.0001277923584;1549.9471028645835;491.2769368489583;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
700.0000476837158;1558.9417317708333;488.11889648437506;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
733.0000400543213;1563.85986328125;486.19775390625006;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
766.0000324249268;1564.9417317708333;485.51367187500006;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
800.0001907348633;1561.7545572916665;482.4479166666666;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
833.0001831054688;1557.1417643229167;478.23388671874994;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
866.0001754760742;1550.7561848958333;479.38175455729163;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
900.0000953674316;1549.68408203125;479.4253743489582;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
933.0000877380371;1549.0564778645833;481.06372070312494;2;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
966.0000801086426;1555.72412109375;481.84594726562494;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1000.0;1548.6241861979167;482.6211751302083;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1032.9999923706055;1537.95068359375;481.82413736979174;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1066.00022315979;1538.6739908854167;481.64200846354163;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1100.0001430511475;1529.7942708333333;481.3050130208332;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1133.000135421753;1528.9187825520833;484.78409830729163;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1166.0001277923584;1525.9547526041665;487.20890299479163;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1200.0000476837158;1518.7127278645833;487.1696777343749;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1233.0000400543213;1513.3806966145833;488.49747721354163;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1266.0000324249268;1508.0341796875;490.17545572916663;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1300.0001907348633;1503.0047200520833;491.03653971354163;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1333.0001831054688;1495.8269856770833;492.32747395833337;3;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1366.0001754760742;1491.0091145833335;494.27954101562483;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1400.0000953674316;1488.4988606770833;494.44685872395837;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1433.000087738037;1484.7198893229167;496.2976074218749;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1466.0000801086426;1482.8382161458333;497.3618977864583;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1500.0;1483.44677734375;497.32096354166663;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1532.9999923706055;1484.5224609375;498.12353515624994;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1566.00022315979;1486.8136393229167;497.7899576822916;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1600.0001430511475;1487.4430338541665;498.5789388020833;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1633.000135421753;1472.90087890625;491.95336914062494;4;Fixation;1522.0313618977864;489.08523050944007;1032.9999923706055;2.0;;600.0001430511475;1633.000135421753
1666.0001277923584;1376.1220703125;451.90502929687494;4;Fixation;1384.2281436011904;456.8308047340029;434.00001525878906;3.0;;1666.0001277923584;2100.0001430511475
1700.0000476837158;1377.7081705729167;451.08414713541674;4;Fixation;1384.2281436011904;456.8308047340029;434.00001525878906;3.0;;1666.0001277923584;2100.0001430511475
1733.0000400543213;1376.47412109375;453.3271484375;4;Fixation;1384.2281436011904;456.8308047340029;434.00001525878906;3.0;;1666.0001277923584;2100.0001430511475
1766.0000324249268;1380.2794596354167;457.35310872395826;5;Fixation;1384.2281436011904;456.8308047340029;434.00001525878906;3.0;;1666.0001277923584;2100.0001430511475
