timestamp,x,y,l_x,l_y,r_x,r_y,pupil_l,pupil_r
0.0,0.4987680912017822,0.4978313148021698,0.49228259921073914,0.4630628228187561,0.4987680912017822,0.4978313148021698,3.371368408203125,3.375396728515625
4.0,0.49717050790786743,0.5017139315605164,0.49483752250671387,0.4548565149307251,0.49717050790786743,0.5017139315605164,3.3544464111328125,3.3925628662109375
8.0,0.4968094527721405,0.49182191491127014,0.49284154176712036,0.4602508544921875,0.4968094527721405,0.49182191491127014,3.362213134765625,3.3542633056640625
12.0,0.4979342222213745,0.49961116909980774,0.49158692359924316,0.4606436789035797,0.4979342222213745,0.49961116909980774,3.3488311767578125,3.3764495849609375
16.0,0.49722054600715637,0.4914272129535675,0.4919000267982483,0.45659536123275757,0.49722054600715637,0.4914272129535675,3.3468780517578125,3.3736572265625
20.0,0.49609270691871643,0.48831626772880554,0.49141931533813477,0.4735909700393677,0.49609270691871643,0.48831626772880554,3.3880767822265625,3.3449859619140625
24.0,0.4965926706790924,0.4944266080856323,0.48927032947540283,0.461500346660614,0.4965926706790924,0.4944266080856323,3.360870361328125,3.3682708740234375
28.0,0.4957142770290375,0.4916110336780548,0.4913961589336395,0.4729774594306946,0.4957142770290375,0.4916110336780548,3.3855133056640625,3.3569793701171875
32.0,0.49284663796424866,0.4985221326351166,0.48907750844955444,0.4610733389854431,0.49284663796424866,0.4985221326351166,3.343902587890625,3.388458251953125
36.0,0.4930506646633148,0.49255475401878357,0.4895228445529938,0.4652891755104065,0.4930506646633148,0.49255475401878357,3.3424530029296875,3.386383056640625
40.0,0.49498414993286133,0.4890703856945038,0.48772141337394714,0.45980262756347656,0.49498414993286133,0.4890703856945038,3.36968994140625,3.3571319580078125
44.0,0.4954953193664551,0.4949827492237091,0.4889572262763977,0.4636051058769226,0.4954953193664551,0.4949827492237091,3.3506927490234375,3.3715057373046875
48.0,0.4946215748786926,0.4827778935432434,0.4879216253757477,0.4653242528438568,0.4946215748786926,0.4827778935432434,3.3644866943359375,3.3449249267578125
52.0,0.49246662855148315,0.4929240345954895,0.4887976050376892,0.4663444459438324,0.49246662855148315,0.4929240345954895,3.3672943115234375,3.3817596435546875
56.0,0.48884788155555725,0.4995574355125427,0.48673099279403687,0.46200746297836304,0.48884788155555725,0.4995574355125427,3.3506317138671875,3.4151611328125
60.0,0.4907777011394501,0.4851706027984619,0.4880937337875366,0.4668370485305786,0.4907777011394501,0.4851706027984619,3.3603363037109375,3.3616485595703125
64.0,0.48846888542175293,0.49712663888931274,0.4882907569408417,0.45460331439971924,0.48846888542175293,0.49712663888931274,3.3453216552734375,3.38568115234375
68.0,0.49064671993255615,0.49557778239250183,0.48337453603744507,0.46734747290611267,0.49064671993255615,0.49557778239250183,3.3769989013671875,3.38250732421875
72.0,0.49188023805618286,0.4743157625198364,0.4869360029697418,0.4673992693424225,0.49188023805618286,0.4743157625198364,3.37054443359375,3.3311614990234375
76.0,0.4887060523033142,0.4882053732872009,0.4854368567466736,0.4628312885761261,0.4887060523033142,0.4882053732872009,3.3469085693359375,3.361236572265625
80.0,0.4898270070552826,0.4847014248371124,0.48376771807670593,0.44995737075805664,0.4898270070552826,0.4847014248371124,3.318145751953125,3.354034423828125
84.0,0.490094929933548,0.49124717712402344,0.48299697041511536,0.45199623703956604,0.490094929933548,0.49124717712402344,3.3378448486328125,3.3696746826171875
88.0,0.48970046639442444,0.47465425729751587,0.48232677578926086,0.4631161093711853,0.48970046639442444,0.47465425729751587,3.366180419921875,3.3353424072265625
92.0,0.4876387119293213,0.49029332399368286,0.4836527407169342,0.4583338499069214,0.4876387119293213,0.49029332399368286,3.35601806640625,3.373870849609375
96.0,0.48962727189064026,0.483868271112442,0.4819715619087219,0.4594792425632477,0.48962727189064026,0.483868271112442,3.3567657470703125,3.355499267578125
100.0,0.4893694221973419,0.4722049832344055,0.4840025305747986,0.4527677297592163,0.4893694221973419,0.4722049832344055,3.3395843505859375,3.319091796875
104.0,0.48793336749076843,0.48643574118614197,0.4836815893650055,0.4507456421852112,0.48793336749076843,0.48643574118614197,3.3382720947265625,3.3648223876953125
108.0,0.48743757605552673,0.4986439645290375,0.48231956362724304,0.4600948691368103,0.48743757605552673,0.4986439645290375,3.3571624755859375,3.378570556640625
112.0,0.48701125383377075,0.4903372526168823,0.48281529545783997,0.4590001106262207,0.48701125383377075,0.4903372526168823,3.346435546875,3.3545684814453125
116.0,0.48952504992485046,0.4848066568374634,0.4833945631980896,0.46918120980262756,0.48952504992485046,0.4848066568374634,3.3765716552734375,3.35235595703125
120.0,0.4888516366481781,0.48227018117904663,0.48177820444107056,0.4586735665798187,0.4888516366481781,0.48227018117904663,3.34088134765625,3.340362548828125
124.0,0.48741835355758667,0.49071353673934937,0.48231250047683716,0.4548247158527374,0.48741835355758667,0.49071353673934937,3.3392181396484375,3.35931396484375
128.0,0.4879072308540344,0.48977404832839966,0.48166435956954956,0.46345606446266174,0.4879072308540344,0.48977404832839966,3.3666839599609375,3.3589324951171875
132.0,0.4897630512714386,0.4868260324001312,0.48371046781539917,0.47226688265800476,0.4897630512714386,0.4868260324001312,3.3826446533203125,3.3363494873046875
136.0,0.48742929100990295,0.5008493065834045,0.48395809531211853,0.4697522521018982,0.48742929100990295,0.5008493065834045,3.37481689453125,3.3720703125
140.0,0.49005648493766785,0.4961296021938324,0.48507654666900635,0.461872398853302,0.49005648493766785,0.4961296021938324,3.365814208984375,3.357330322265625
144.0,0.4851287007331848,0.5009943246841431,0.48294597864151,0.4660910367965698,0.4851287007331848,0.5009943246841431,3.3743743896484375,3.3936309814453125
148.0,0.49097737669944763,0.4895762801170349,0.48295268416404724,0.4566718339920044,0.49097737669944763,0.4895762801170349,3.3450775146484375,3.34124755859375
152.0,0.48833534121513367,0.49143120646476746,0.4824153184890747,0.47361817955970764,0.48833534121513367,0.49143120646476746,3.38720703125,3.361541748046875
156.0,0.48644283413887024,0.4917773902416229,0.48219233751296997,0.4552507698535919,0.48644283413887024,0.4917773902416229,3.326690673828125,3.3710784912109375
160.0,0.4867017865180969,0.5026505589485168,0.48187360167503357,0.45427337288856506,0.4867017865180969,0.5026505589485168,3.329345703125,3.39056396484375
164.0,0.48992592096328735,0.4793720543384552,0.48229479789733887,0.46056705713272095,0.48992592096328735,0.4793720543384552,3.3460235595703125,3.2981719970703125
168.0,0.4875572919845581,0.486707478761673,0.4816895127296448,0.4668683111667633,0.4875572919845581,0.486707478761673,3.331634521484375,3.3273468017578125
172.0,0.4891299903392792,0.4992947578430176,0.4815668761730194,0.46173912286758423,0.4891299903392792,0.4992947578430176,3.3385009765625,3.3764495849609375
176.0,0.48878535628318787,0.46697312593460083,0.4810982346534729,0.45981982350349426,0.48878535628318787,0.46697312593460083,3.33477783203125,3.2738037109375
180.0,0.48874568939208984,0.4835836887359619,0.4818095564842224,0.4624488353729248,0.48874568939208984,0.4835836887359619,3.327239990234375,3.3092193603515625
184.0,0.4879458546638489,0.4817989468574524,0.4840121865272522,0.4710898995399475,0.4879458546638489,0.4817989468574524,3.363677978515625,3.2994384765625
188.0,0.4874342978000641,0.48814138770103455,0.4842429757118225,0.46367499232292175,0.4874342978000641,0.48814138770103455,3.349151611328125,3.3328094482421875
