timestamp;video_frame_count;event_type;norm_pos_x;norm_pos_y;duration;id;start_frame_index;end_frame_index
1755694068.553;4;Fixation;0.5800831349690755;0.6542812093098959;134.00006294250488;1.0;4;4
1755694068.953;5;Fixation;0.5422875563303629;0.6806259155273438;99.99990463256836;2.0;5;5
1755694069.353;7;Fixation;0.4616554578145345;0.5588319142659505;100.00014305114746;3.0;7;8
1755694069.853;11;Fixation;0.4281522274017333;0.5737792177553531;300.0001907348633;4.0;11;13
1755694076.887;44;Fixation;0.568325572543674;0.782976974675685;66.99991226196289;5.0;44;45
1755694079.287;60;Fixation;0.40454851786295576;0.7241113544982156;67.00015068054199;6.0;60;62
1755694079.42;62;Fixation;0.4064656151665581;0.7242850974754053;66.99991226196289;7.0;62;63
1755694080.82;85;Fixation;0.36186859342787;0.708477368766879;67.00015068054199;8.0;85;85
1755694083.42;104;Fixation;0.3851617336273193;0.6590822996916595;99.99990463256836;9.0;104;104
1755694084.487;120;Fixation;0.3831434673733181;0.6770886268144772;66.99991226196289;10.0;120;122
1755694084.687;124;Fixation;0.3958064856352629;0.6770201945991673;266.9999599456787;11.0;124;129
1755694085.02;130;Fixation;0.39380971590677893;0.6727890014648438;233.99996757507324;12.0;130;136
1755694085.387;139;Fixation;0.3896982192993164;0.6741143874180169;66.99991226196289;13.0;139;140
1755694085.52;141;Fixation;0.38874523374769415;0.6743999905056424;66.99991226196289;14.0;141;142
1755694085.654;143;Fixation;0.39013461007012257;0.6752347404574172;65.99998474121094;15.0;143;145
1755694085.82;148;Fixation;0.39025095076788036;0.6740766979399182;200.00004768371582;16.0;148;151
1755694088.387;185;Fixation;0.5971215883890788;0.7510153169985171;99.99990463256836;17.0;185;187
1755694088.554;188;Fixation;0.5963800854153104;0.7483768416039738;65.99998474121094;18.0;188;190
1755694090.22;215;Fixation;0.3750532150268554;0.6722130669487848;99.99990463256836;19.0;215;216
1755694090.487;220;Fixation;0.36706129709879554;0.6776774088541667;66.99991226196289;20.0;220;221
1755694090.854;227;Fixation;0.36824081208970816;0.6819070886682582;65.99998474121094;21.0;227;228
1755694091.287;237;Fixation;0.3514474312464396;0.6739145632143374;100.00014305114746;22.0;237;239
1755694091.92;249;Fixation;0.37216467630295524;0.6878997237594039;199.99980926513672;23.0;249;254
1755694092.187;255;Fixation;0.37193672113251264;0.6901865076135706;599.9999046325684;24.0;255;270
1755694093.087;276;Fixation;0.3752613476344517;0.6879876434487641;200.00004768371582;25.0;276;281
1755694093.354;284;Fixation;0.37281747394137915;0.6864535484784915;65.99998474121094;26.0;284;286
1755694093.587;291;Fixation;0.37058162689208984;0.6853747520917728;67.00015068054199;27.0;291;292
1755694093.72;294;Fixation;0.36830733617146805;0.6870250560619214;134.00006294250488;28.0;294;297
1755694094.087;302;Fixation;0.3654096794128418;0.6879904626916956;300.0001907348633;29.0;302;312
1755694094.52;315;Fixation;0.3650860574510362;0.688402114679784;66.99991226196289;30.0;315;318
1755694094.887;323;Fixation;0.3554355833265517;0.6952882178035783;66.99991226196289;31.0;323;326
1755694095.12;331;Fixation;0.35179689725240065;0.6937956209535953;100.00014305114746;32.0;331;334
1755694095.587;343;Fixation;0.3626645829942491;0.6959196679386093;67.00015068054199;33.0;343;344
1755694095.72;347;Fixation;0.3642251014709473;0.6912404943395545;99.99990463256836;34.0;347;350
1755694095.954;353;Fixation;0.35931126276652015;0.6935405166060836;99.99990463256836;35.0;353;357
1755694096.82;380;Fixation;0.36152711595807757;0.6876558293741215;434.00001525878906;36.0;380;391
1755694097.42;394;Fixation;0.36023308925139597;0.683788319123097;399.99985694885254;37.0;394;408
1755694097.987;412;Fixation;0.36025613149007163;0.6829382719816984;99.99990463256836;38.0;412;416
1755694098.154;418;Fixation;0.36359244664510093;0.6824943825050637;132.99989700317383;39.0;418;421
1755694098.421;425;Fixation;0.3608059485753377;0.6880440252798576;233.0000400543213;40.0;425;432
1755694098.754;436;Fixation;0.3602515144953652;0.6932702577513573;667.0000553131104;41.0;436;455
1755694099.487;458;Fixation;0.3618851216634114;0.6937384711371528;134.00006294250488;42.0;458;461
1755694099.687;464;Fixation;0.3637119229634602;0.6938284979926216;134.00006294250488;43.0;464;468
1755694099.954;471;Fixation;0.3675090385205818;0.6948571458810107;332.99994468688965;44.0;471;482
1755694101.087;506;Fixation;0.3742717425028482;0.6765233640317564;100.00014305114746;45.0;506;508
1755694101.254;511;Fixation;0.3716154098510742;0.6750395786615065;67.00015068054199;46.0;511;513
1755694107.721;654;Fixation;0.5036966323852539;0.7512208538290893;65.99998474121094;47.0;654;656
1755694112.321;791;Fixation;0.2684513473510742;0.7907237413194446;132.99989700317383;48.0;791;795
1755694116.521;910;Fixation;0.4134008195665147;0.8147554185655381;65.99998474121094;49.0;910;914
1755694133.154;1394;Fixation;0.4307997173733182;0.7152495961130402;66.99991226196289;50.0;1394;1395
1755694133.421;1402;Fixation;0.43539317448933923;0.7189739839530286;66.99991226196289;51.0;1402;1403
1755694137.688;1525;Fixation;0.5028003374735515;0.6767485818745178;65.99998474121094;52.0;1525;1528
1755694139.688;1585;Fixation;0.3642447980244954;0.6282754290545429;133.00013542175293;53.0;1585;1588
1755694148.521;1845;Fixation;0.385225518544515;0.7310516545801988;67.00015068054199;54.0;1845;1848
1755694151.288;1930;Fixation;0.46361387040879987;0.613166422902802;166.99981689453125;55.0;1930;1935
1755694152.121;1955;Fixation;0.4627069314320882;0.6645885043674045;99.99990463256836;56.0;1955;1957
1755694160.955;2215;Fixation;0.4876814736260308;0.9050389796127509;65.99998474121094;57.0;2215;2217
1755694167.355;2401;Fixation;0.4737882932027181;0.643849464699074;66.99991226196289;58.0;2401;2402
1755694175.922;2649;Fixation;0.5172642707824707;0.6545554832175927;65.99998474121094;59.0;2649;2650
1755694181.722;2818;Fixation;0.509514331817627;0.7593907532868563;100.00014305114746;60.0;2818;2823
1755694182.022;2829;Fixation;0.5060352071126302;0.765370110405816;132.99989700317383;61.0;2829;2833
1755694182.622;2847;Fixation;0.5099982261657715;0.7615773518880208;65.99998474121094;62.0;2847;2849
1755694184.255;2893;Fixation;0.5073113441467285;0.7644218539014276;66.99991226196289;63.0;2893;2896
1755694185.188;2922;Fixation;0.5021030553181967;0.7659242078993055;134.00006294250488;64.0;2922;2926
1755694185.388;2928;Fixation;0.5038876321580675;0.7676766289605035;66.99991226196289;65.0;2928;2929
1755694187.255;2981;Fixation;0.4984041796790228;0.7456378607102383;166.99981689453125;66.0;2981;2986
1755694188.022;3004;Fixation;0.4878078142801921;0.7408233218722875;99.99990463256836;67.0;3004;3005
1755694190.522;3077;Fixation;0.4655175590515137;0.7817212592230904;132.99989700317383;68.0;3077;3080
1755694191.255;3097;Fixation;0.4661126242743598;0.7679954246238427;66.99991226196289;69.0;3097;3101
1755694194.455;3195;Fixation;0.46280748579237196;0.7513505346981096;167.00005531311035;70.0;3195;3200
1755694195.355;3222;Fixation;0.4902512232462565;0.762704411259404;99.99990463256836;71.0;3222;3224
1755694202.322;3429;Fixation;0.4859555959701538;0.6937282138400607;99.99990463256836;72.0;3429;3431
